athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic
"palmer, ahje",weightlifting,cannabinoids,1-month suspension; loss of results,2022-03-11,FALSE,FALSE,FALSE
"lazishvili, zviad",mixed martial arts,clomiphene,10-month suspension,2022-02-23,FALSE,FALSE,FALSE
"chavez, bernabe",weightlifting,"non-analytical: tampering, complicity",4-year suspension,2022-02-04,FALSE,FALSE,FALSE
"wilson, ian",weightlifting,stanozolol; drostanolone,3-year suspension; loss of results,2022-02-03,FALSE,FALSE,FALSE
"prazeres, michel",mixed martial arts,clomiphene; oxandrolone; androgenic anabolic steroid,4-year suspension,2021-12-23,FALSE,FALSE,FALSE
"bowlby, grace",ice hockey,spironolactone,public warning,2021-12-16,FALSE,FALSE,FALSE
"lampkin, trey",paralympic judo,hydrochlorothiazide (hctz),public warning,2021-12-07,FALSE,FALSE,TRUE
"wethington, madeline",ice hockey,spironolactone,public warning,2021-12-06,FALSE,FALSE,FALSE
"adel, jordan",weightlifting,ostarine; lgd-4033; ibutamoren,3-year suspension; loss of results,2021-11-30,FALSE,FALSE,FALSE
"webb, noah",triathlon,androgenic anabolic steroid,4-year suspension; loss of results,2021-11-29,FALSE,FALSE,FALSE
"benoit, ryan",mixed martial arts,modafinil,10-month suspension,2021-11-08,FALSE,FALSE,FALSE
"tran, hillary",weightlifting,cocaine; d-methamphetamine,1-year suspension; loss of results,2021-10-28,FALSE,FALSE,FALSE
"daniels, jamaal",paralympic track & field,non-analytical: administration; tampering,4-year suspension,2021-10-21,FALSE,FALSE,TRUE
"jackson, desmond",paralympic track & field,dehydroepiandrosterone (dhea),14-month suspension; loss of results,2021-10-21,FALSE,FALSE,TRUE
"augusto de freitas, geraldo",mixed martial arts,androgenic anabolic steroid,2-year suspension,2021-10-13,FALSE,FALSE,FALSE
"mcwhirter, matt",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2021-09-30,FALSE,FALSE,FALSE
"lacoste, jacob",weightlifting,clomiphene; 19-norandrosterone (19-na),3-year suspension; loss of results,2021-09-29,FALSE,FALSE,FALSE
"bontorin, rogerio",mixed martial arts,hydrochlorothiazide (hctz),3-month suspension,2021-09-29,FALSE,FALSE,FALSE
"prince, mcaben",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2021-09-14,FALSE,FALSE,FALSE
"butterworth, andrew",weightlifting,non-analytical: refusal to submit to sample collection,7-year suspension; loss of results; sanction tolled due to retirement,2021-09-10,FALSE,FALSE,FALSE
"shakirova, liliya",mixed martial arts,meldonium,2-year suspension,2021-08-30,FALSE,FALSE,FALSE
"buckley, christian",weightlifting,ostarine,3-year suspension - loss of results,2021-08-25,FALSE,FALSE,FALSE
"compton, katherine",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2021-08-11,FALSE,FALSE,FALSE
"hancock, regina",weightlifting,stanozolol,4-year suspension; loss of results,2021-08-11,FALSE,FALSE,FALSE
"storie, logan",pentathlon,ostarine; lgd‐4033; gw1516,6-year suspension; second violation - sanction was tolled due to retirement; unretired so is eligible to compete starting 12/31/2026,2021-08-06,FALSE,FALSE,FALSE
"alvis, juancamilo ronderos",mixed martial arts,cocaine,1-month suspension,2021-07-29,FALSE,FALSE,FALSE
"richardson, sha'carri",track & field,cannabinoids,1-month suspension; loss of results,2021-07-02,FALSE,FALSE,FALSE
"nelson, james",weightlifting,dehydrochloromethyltestosterone (dhcmt),4-year suspension; loss of results,2021-07-01,FALSE,FALSE,FALSE
"prince, david",paralympic track & field,ostarine; lgd‐4033,12-month suspension; loss of results,2021-06-29,FALSE,FALSE,TRUE
"koch, erik",mixed martial arts,stanozolol,18-month suspension,2021-06-16,FALSE,FALSE,FALSE
"sisson, josh",paralympic judo,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,2021-06-16,FALSE,FALSE,TRUE
"gallardo, luis",weightlifting,oxymetholone; dehydrochloromethyltestosterone (dhcmt); arimistane; torasemide,4-year suspension; loss of results,2021-06-03,FALSE,FALSE,FALSE
"montgomery, kahmari",track & field,cannabinoids,1-month suspension; loss of results,2021-06-03,FALSE,FALSE,FALSE
"pearson, keir",rowing,non-analytical: possession and use/attempted use; administration (lgd-4033),lifetime suspension,2021-05-13,FALSE,FALSE,FALSE
"piechota, oskar",mixed martial arts,growth hormone releasing peptide 2 (ghrp-2),22-month suspension,2021-05-05,FALSE,FALSE,FALSE
"pessoa nunes, raphael",mixed martial arts,hydrochlorothiazide (hctz); possession and use/attempted use; evading sample collection,2-year suspension,2021-05-03,FALSE,FALSE,FALSE
"jackson, tate",swimming,cannabinoids,1-month suspension; loss of results,2021-04-29,FALSE,FALSE,FALSE
"koehly, rebekah",weightlifting,testosterone,20-month suspension; loss of results,2021-04-28,FALSE,FALSE,FALSE
"aivazian, vahe",cycling,testosterone;	nandrolone; 	dehydroepiandrosterone (dhea); 	somatropin (hgh); ipamorelin; 	ghrp-6; cjc-1295;  igf-1; human chorionic gonadotropin (hcg); anastrozole,4-year suspension; loss of results,2021-04-15,FALSE,FALSE,FALSE
"igbokwe, obichukwu",track & field,dehydrochloromethyltestosterone (dhcmt),30-month suspension; loss of results,2021-04-08,FALSE,FALSE,FALSE
"burkett, richard",paralympic archery,testosterone,15-month suspension; loss of results,2021-04-05,FALSE,FALSE,TRUE
"ellis, james",weightlifting,cannabinoids,6-month suspension; loss of results,2021-03-05,FALSE,FALSE,FALSE
"thomas, lorenzo",rugby,gw1516,4-year suspension; loss of results,2021-03-04,FALSE,FALSE,FALSE
"azaitar, abu",mixed martial arts,tamoxifen,7-month suspension,2021-02-01,FALSE,FALSE,FALSE
"pennington, raquel",mixed martial arts,7-keto-dhea; aod-9064,6-month suspension,2021-01-28,FALSE,FALSE,FALSE
"ewell, andre",mixed martial arts,ostarine,public warning,2021-01-19,FALSE,FALSE,FALSE
"santanna, eduarda neves",mixed martial arts,lgd-4033,1-year suspension,2021-01-15,FALSE,FALSE,FALSE
"castro, vinicius moreira",mixed martial arts,anastrozole,public warning,2021-01-15,FALSE,FALSE,FALSE
"hisaka, scott",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,2021-01-05,FALSE,FALSE,FALSE
"blocker, jasmine",track & field,spironolactone,public warning,2020-12-28,FALSE,FALSE,FALSE
"munsell, megan",weightlifting,gw1516,4-year suspension; loss of results,2020-12-22,FALSE,FALSE,FALSE
"williams, susanne",weightlifting,ostarine,4-year suspension; loss of results,2020-12-16,FALSE,FALSE,FALSE
"pelegrin, robert",cycling,anastrozole,1-year suspension; loss of results,2020-12-09,FALSE,FALSE,FALSE
"lewis-parry, chi",mixed martial arts,drostanolone; stanozolol; dehydrochloromethyltestosterone (dhcmt); tampering,4-year suspension,2020-12-04,FALSE,FALSE,FALSE
"barriault, marc-andre",mixed martial arts,ostarine,6-month suspension,2020-12-04,FALSE,FALSE,FALSE
"rodriguez, yair",mixed martial arts,3 whereabouts failures,6-month suspension,2020-12-03,FALSE,FALSE,FALSE
"mclaughlin, anthony",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,2020-11-30,FALSE,FALSE,FALSE
"pessoa nunes, raphael",mixed martial arts,hydrochlorothiazide (hctz),1-year suspension,2020-11-23,FALSE,FALSE,FALSE
"fiechter, olivia",squash,spironolactone,public warning,2020-11-20,FALSE,FALSE,FALSE
"ronson, jesse",mixed martial arts,metandienone,20-month suspension,2020-11-18,FALSE,FALSE,FALSE
"hipona, alissandra",weightlifting,non-analytical: possession and use/attempted use,2-year suspension; loss of results,2020-11-09,FALSE,FALSE,FALSE
"bey, kamal",wrestling,non-analytical: 3 whereabouts failures,1-year suspension; loss of results,2020-10-30,FALSE,FALSE,FALSE
"sherman, chase",mixed martial arts,anastrozole,9-month suspension,2020-10-20,FALSE,FALSE,FALSE
"martin, jeff",cycling,androgenic anabolic steroid,2-year suspension; loss of results,2020-10-01,FALSE,FALSE,FALSE
"millican, morgan",weightlifting,clomiphene,2-year suspension; loss of results,2020-09-29,FALSE,FALSE,FALSE
"harroufi, ridouane",track & field,androgenic anabolic steroid,8-year suspension; loss of results,2020-09-24,FALSE,FALSE,FALSE
"fritzen procopio, lara",mixed martial arts,ostarine,6-month suspension,2020-09-21,FALSE,FALSE,FALSE
"mccullough, matthew",weightlifting,higenamine,20-month suspension; loss of results,2020-09-17,FALSE,FALSE,FALSE
"gonzalez villa, jorge",mixed martial arts,stanozolol; drostanolone,2-year suspension,2020-09-11,FALSE,FALSE,FALSE
"wood, jonathan",cycling,androgenic anabolic steroid,2-year suspension;  loss of results,2020-09-09,FALSE,FALSE,FALSE
"parlor, tiffany",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,2020-09-08,FALSE,FALSE,FALSE
"fix, daton",wrestling,ostarine,1-year suspension; loss of results,2020-09-08,FALSE,FALSE,FALSE
"doskalchuk, oleksandr",mixed martial arts,mesterolone,14-month suspension,2020-09-02,FALSE,FALSE,FALSE
"gicquel, barbara",cycling,methyltestosterone,1-year suspension; loss of results,2020-08-14,FALSE,FALSE,FALSE
"dombrovskiy, vladyslav",wrestling,non-analytical: possession and use/attempted use; refusal to submit to sample collection,4-year suspension; loss of results,2020-07-28,FALSE,FALSE,FALSE
"melendez, gilbert",mixed martial arts,ghrp-6,2-year suspension,2020-07-27,FALSE,FALSE,FALSE
"woolsey, taff",weightlifting,non-analytical: possession (exemestane),2-year suspension; loss of results,2020-07-22,FALSE,FALSE,FALSE
"castille, kevin",track & field,19-norandrosterone (19-na),4-year suspension; loss of results,2020-07-16,FALSE,FALSE,FALSE
"prusmack, jeff",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,2020-07-02,FALSE,FALSE,FALSE
"alonso, leynier",cycling,phentermine,4-year suspension; loss of results,2020-06-30,FALSE,FALSE,FALSE
"arruda da silva, bruno",mixed martial arts,boldenone,2-year suspension,2020-06-22,FALSE,FALSE,FALSE
"ostovich-berdon, rachael",mixed martial arts,ostarine; gw1516,1-year suspension,2020-06-18,FALSE,FALSE,FALSE
"glanville, justin",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,2020-06-09,FALSE,FALSE,FALSE
"walsh, cole",track & field,cannabinoids,6-month suspension with 3-month deferral; loss of results,2020-06-01,FALSE,FALSE,FALSE
"romero noboa, isidro",triathlon,androgenic anabolic steroid; cannabinoids; anastrozole; clomiphene; gw1516,4-year suspension; loss of results,2020-05-22,FALSE,FALSE,FALSE
"gastelum, kelvin",mixed martial arts,cannabinoids,9-month suspension with 5-month deferral,2020-05-11,FALSE,FALSE,FALSE
"ortiz, robert",weightlifting,cannabinoids,12-month suspension with 6-month deferral; loss of results,2020-05-04,FALSE,FALSE,FALSE
"hurst, rowdy",weightlifting,androgenic anabolic steroid; clomiphene; modafinil,4-year suspension; loss of results,2020-04-24,FALSE,FALSE,FALSE
"saccente, nicholas",weightlifting,non-analytical: possession and use/attempted use; non-analytical: 3 whereabouts failures,8-year suspension; loss of results; sanction tolled due to retirement,2020-04-16,FALSE,FALSE,FALSE
"penchel, lucas",mixed martial arts,non-analytical: complicity,2-year suspension,2020-03-23,FALSE,FALSE,FALSE
"gleaves, john",cycling,oxandrolone; clomiphene,4-year suspension; loss of results,2020-03-20,FALSE,FALSE,FALSE
"bond, daniel",cycling,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,2020-03-18,FALSE,FALSE,FALSE
"aguero, manuel",weightlifting,amphetamine; modafinil,4-year suspension; loss of results,2020-03-12,FALSE,FALSE,FALSE
"jones, addison",weightlifting,cannabinoids,6-month suspension with 3-month deferral; loss of results,2020-03-05,FALSE,FALSE,FALSE
"penne, jessica",mixed martial arts,stanozolol,20-month suspension,2020-02-28,FALSE,FALSE,FALSE
"de padua, isabela",mixed martial arts,19-norandrosterone (19-na),2-year suspension,2020-02-27,FALSE,FALSE,FALSE
"strange, robert",weightlifting,dehydroepiandrosterone (dhea),1-year suspension; loss of results,2020-02-21,FALSE,FALSE,FALSE
"prazeres, michel",mixed martial arts,boldenone,2-year suspension,2020-02-11,FALSE,FALSE,FALSE
"duarte, kaynan",brazilian jiu-jitsu,ostarine,1-year suspension,2020-02-07,FALSE,FALSE,FALSE
"saint preux, ovince",mixed martial arts,ostarine; lgd-4033; gw1516,3-month suspension,2020-01-31,FALSE,FALSE,FALSE
"sanchez, diego",mixed martial arts,"ostarine, s-23",3-month suspension,2020-01-31,FALSE,FALSE,FALSE
"o'malley, sean",mixed martial arts,ostarine,6-month suspension,2020-01-09,FALSE,FALSE,FALSE
"townsend, dequan",mixed martial arts,"cocaine, fentanyl",6-month suspension,2020-01-08,FALSE,FALSE,FALSE
"dumala, samantha",waterskiing,spironolactone,public warning,2020-01-07,FALSE,FALSE,FALSE
"dreaver, ted",weightlifting,androgenic anabolic steroid,39-month suspension; loss of results,2020-01-06,FALSE,FALSE,FALSE
"martinez, cristofer",weightlifting,5-methylhexan-2-amine,2-year suspension; loss of results,2019-12-27,FALSE,FALSE,FALSE
"taha, khalid",mixed martial arts,furosemide,1-year suspension,2019-12-23,FALSE,FALSE,FALSE
"glasgow, scott",weightlifting,non-analytical: complicity,4-year suspension,2019-12-20,FALSE,FALSE,FALSE
"merrell, miranda",weightlifting,oxandrolone,2-year suspension; loss of results,2019-12-19,FALSE,FALSE,FALSE
"cachoeira gomes da silva, priscila",mixed martial arts,hydrochlorothiazide,4-month suspension,2019-12-18,FALSE,FALSE,FALSE
"gochenour, alexandria",track & field,ostarine,4-year suspension; loss of results,2019-12-17,FALSE,FALSE,FALSE
"shafer, janelle",weightlifting,ostarine,4-year suspension; loss of results,2019-12-17,FALSE,FALSE,FALSE
"letellier, lawrence",weightlifting,clomiphene,2-year suspension; loss of results,2019-12-04,FALSE,FALSE,FALSE
"akuna, kiara",weightlifting,methandienone; dehydrochloromethyltestosterone (dhcmt),4-year suspension; loss of results,2019-11-27,FALSE,FALSE,FALSE
"nunez, erik",weightlifting,gw1516,4-year suspension; loss of results,2019-11-21,FALSE,FALSE,FALSE
"anderson, kaley",weightlifting,di‐hydroxy‐lgd‐4033,4-year suspension; loss of results,2019-11-20,FALSE,FALSE,FALSE
"nunes souza, istela iane",mixed martial arts,stanozolol,2-year suspension,2019-10-25,FALSE,FALSE,FALSE
"y frederico salvador de lemos, giacomo",mixed martial arts,drostanolone,2-year suspension,2019-10-24,FALSE,FALSE,FALSE
"arte, john allan",mixed martial arts,tamoxifen,1-year suspension,2019-10-18,FALSE,FALSE,FALSE
"gatto regonha, melissa",mixed martial arts,furosemide,1-year suspension,2019-10-17,FALSE,FALSE,FALSE
"kurth, ty",cycling,testosterone,2-year suspension; loss of results,2019-10-17,FALSE,FALSE,FALSE
"dwyer, conor",swimming,androgenic anabolic steroid,20-month suspension; loss of results; sanction tolled due to retirement,2019-10-11,FALSE,FALSE,FALSE
"franklin, natalie",weightlifting,ostarine; lgd-4033,4-year suspension; loss of results,2019-10-10,FALSE,FALSE,FALSE
"allison, kyler",bobsled and skeleton,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results; sanction tolled due to retirement,2019-10-09,FALSE,TRUE,FALSE
"davis, todd",track & field,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,2019-10-04,FALSE,FALSE,FALSE
"cano, josue",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results; sanction tolled due to retirement,2019-10-03,FALSE,FALSE,FALSE
"salazar, alberto",track & field,"non-analytical: tampering, administration (iv), and trafficking (testosterone)",4-year suspension,2019-09-30,FALSE,FALSE,FALSE
"brown, jeffrey",track & field,"non-analytical: tampering, administration (iv), and complicity (testosterone)",4-year suspension,2019-09-30,FALSE,FALSE,FALSE
"carlberg, angela",weightlifting,vilanterol,public warning,2019-09-27,FALSE,FALSE,FALSE
"branch, david",mixed martial arts,ipamorelin,2-year suspension,2019-09-18,FALSE,FALSE,FALSE
"frota lima, sarah",mixed martial arts,stanozolol,2-year suspension,2019-09-17,FALSE,FALSE,FALSE
"smoliakov, dmitrii",mixed martial arts,recombinant human erythropoietin (rhuepo); intact human chorionic gonadtrophin (hcg),2-year suspension,2019-09-10,FALSE,FALSE,FALSE
"goss, lauren",triathlon,cannabinoids,6-month suspension; loss of results,2019-09-05,FALSE,FALSE,FALSE
"maynard, nicole",weightlifting,methenolone; lgd‐4033; gw1516,4-year suspension; loss of results,2019-09-04,FALSE,FALSE,FALSE
"gouti, thibault",mixed martial arts,ostarine; lgd-4033; gw1516,6-month suspension,2019-08-27,FALSE,FALSE,FALSE
"dollaway, cb",mixed martial arts,anastrozole; ghrp-2; ghrp-6; clomiphene,2-year suspension,2019-08-26,FALSE,FALSE,FALSE
"dolidze, roman",mixed martial arts,clomiphene; dehydrochloromethyltestosterone (dhcmt),1-year suspension,2019-08-23,FALSE,FALSE,FALSE
"bond, michael",powerlifting,"ostarine, rad140, gw1516",4-year suspension; loss of results,2019-08-21,FALSE,FALSE,FALSE
"licon, william",swimming,non-analytical: use (vilanterol),public warning,2019-08-01,FALSE,FALSE,FALSE
"schafer, mallory",triathlon,higenamine,10-month suspension,2019-07-30,FALSE,FALSE,FALSE
"galloway, jacqueline",taekwondo,ibutamoren,6-month suspension,2019-07-29,FALSE,FALSE,FALSE
"amedovski, alen",mixed martial arts,cannabinoids,6-month suspension with 3-month deferral,2019-07-18,FALSE,FALSE,FALSE
"sacklow, joe",weightlifting,"heptaminol, 1,4‐dimethylpentylamine (1,4‐dmpa), octodrine, ostarine, di‐hydroxy‐lgd‐4033",4-year suspension; loss of results,2019-07-17,FALSE,FALSE,FALSE
"warren, darcie",weightlifting,non-analytical: refusal to submit to sample collection,8-year suspension; loss of results,2019-07-11,FALSE,FALSE,FALSE
"shtyrkov, ivan",mixed martial arts,boldenone,2-year suspension,2019-07-09,FALSE,FALSE,FALSE
"le, talina",taekwondo,higenamine,18-month suspension; loss of results,2019-07-08,FALSE,FALSE,FALSE
"mosley, mandy",weightlifting,"higenamine, heptaminol, and octodrine",16-month suspension; loss of results,2019-06-27,FALSE,FALSE,FALSE
"hu, yaozong",mixed martial arts,"androsta-3,5-diene-7,17-dione",10-month suspension,2019-06-14,FALSE,FALSE,FALSE
"gorgees, alex",mixed martial arts,drostanolone; dehydrochloromethyltestosterone (dhcmt),16-month suspension,2019-05-31,FALSE,FALSE,FALSE
"waterstraat, elizabeth",triathlon,ostarine,6-month suspension; loss of results,2019-05-24,FALSE,FALSE,FALSE
"porfirio de araùjo, tayane",brazilian jiu-jitsu,"19‐norandrosterone (19‐na), 19-noretiocholanolone",4-year suspension; loss of results,2019-05-10,FALSE,FALSE,FALSE
"omar, mohamed",weightlifting,clomiphene,2-year suspension; loss of results;,2019-05-07,FALSE,FALSE,FALSE
"tisinger-ledkins, janel",racquetball,octopamine,16-month suspension; loss of results,2019-05-02,FALSE,FALSE,FALSE
"costa, carlos",mixed martial arts,non-analytical: possession and administration,6-month suspension,2019-04-26,FALSE,FALSE,FALSE
"costa, paulo",mixed martial arts,non-analytical: intravenous infusion,6-month suspension,2019-04-26,FALSE,FALSE,FALSE
"montano, nicco",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE
"o'malley, sean",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE
"vettori, marvin",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE
"mendes, augusto",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE
"harris, walt",mixed martial arts,lgd-4033,4-month suspension,2019-04-22,FALSE,FALSE,FALSE
"taisumov, mairbek",mixed martial arts,stanozolol,6-month suspension,2019-04-11,FALSE,FALSE,FALSE
"dillashaw, tj",mixed martial arts,recombinant human erythropoietin (rhuepo),2-year suspension,2019-04-09,FALSE,FALSE,FALSE
"murzakanov, azamat",mixed martial arts,boldenone,2-year suspension,2019-04-08,FALSE,FALSE,FALSE
"magomedov, ruslan",mixed martial arts,methyltestosterone; stanozolol,lifetime suspension,2019-04-01,FALSE,FALSE,FALSE
"baratto, joseph",cycling,androgenic anabolic steroid,1-year suspension; loss of results,2019-03-20,FALSE,FALSE,FALSE
"logan, devin",skiing,cannabinoids,6-month suspension with 3-month deferral - loss of results,2019-03-01,FALSE,FALSE,FALSE
"schenk, cheyenne",weightlifting,cannabinoids,6-month suspension with 3-month deferral - loss of results,2019-02-26,FALSE,FALSE,FALSE
"murtazaliev, khalid",mixed martial arts,drostanolone,2-year suspension,2019-02-22,FALSE,FALSE,FALSE
"collier, jake",mixed martial arts,higenamine,10-month suspension,2019-02-19,FALSE,FALSE,FALSE
"sorensen, ira",cycling,androgenic anabolic steroid,2-year suspension; loss of results,2019-02-12,FALSE,FALSE,FALSE
"pate, jennifer",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2019-02-11,FALSE,FALSE,FALSE
"campbell, rachel",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results; sanction tolled due to retirement,2019-02-07,FALSE,FALSE,FALSE
"cuicchi, trevor",weightlifting,ostarine,9-month suspension; loss of results,2019-01-28,FALSE,FALSE,FALSE
"juneau scott, cory",skateboarding,cannabinoids,6-month suspension with 3-month deferral - loss of results,2019-01-22,FALSE,FALSE,FALSE
"carrillo, michel",cycling,"erythropoietin (epo); 19‐norandrosterone (19‐na); androgenic-anabolic steroids (aas); clostebol, testosterone",4-year suspension; loss of results,2019-01-18,FALSE,FALSE,FALSE
"maia, jennifer",mixed martial arts,"furosemide; hydrochlorothiazide; chlorothiazide; thiazide metabolite 4-amino-6-chloro-1,3-benzenedisulfonamide (acb)",6-month suspension,2019-01-15,FALSE,FALSE,FALSE
"brown, robert",weightlifting,heptaminol,9-month suspension; loss of results,2019-01-14,FALSE,FALSE,FALSE
"grove, carl",cycling,trenbolone; clomiphene,public warning,2019-01-04,FALSE,FALSE,FALSE
"pate, david",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2018-12-20,FALSE,FALSE,FALSE
"zeng, laura",gymnastics,acetazolamide,6-month suspension; loss of results,2018-12-19,FALSE,FALSE,FALSE
"sekulic, stefan",mixed martial arts,drostanolone; metandienone,2-year suspension,2018-12-18,FALSE,FALSE,FALSE
"kandare, bharat vijay",mixed martial arts,boldenone; tamoxifen,2-year suspension,2018-12-17,FALSE,FALSE,FALSE
"lopez, enrique",cycling,erythropoietin (epo),4-year suspension - loss of results,2018-11-12,FALSE,FALSE,FALSE
