"athlete","sport","substance_reason","sanction_terms","sanction_announced","sanction_date","support_personnel","paralympic","multiple_sports","sanction_type","substance_cat","substance_group"
"navarrete, rene","weightlifting","cannabinoids","3-month suspension; loss of results","10/14/2022",2022-10-14,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"green, bobby","mixed martial arts","dehydroepiandrosterone (dhea)","6-month suspension","10/07/2022",2022-10-07,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"zaleski dos santos, elizeu","mixed martial arts","ostarine","1-year suspension","09/22/2022",2022-09-22,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"browne, richard","para track & field","cannabinoids","3-month suspension; loss of results","09/07/2022",2022-09-07,FALSE,TRUE,FALSE,"analytic","single","S8 CANNABINOIDS"
"jordan, clint","weightlifting","anabolic agent","4-year suspension; loss of results","09/01/2022",2022-09-01,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"coleman, ellis","wrestling","dehydroepiandrosterone (dhea)","24-month suspension; loss of results","08/31/2022",2022-08-31,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"walker, gregory","para track & field","cannabinoids","3-month suspension; loss of results","08/16/2022",2022-08-16,FALSE,TRUE,FALSE,"analytic","single","S8 CANNABINOIDS"
"hattingh, riekert","rugby","tamoxifen","6-month suspension; loss of results","08/11/2022",2022-08-11,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"howes, lucas","cycling","cannabinoids","3-month suspension; loss of results","08/05/2022",2022-08-05,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"johns, miles","mixed martial arts","adderall","public warning","07/21/2022",2022-07-21,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"struxness, wyatt","boccia","furosemide","public warning","07/07/2022",2022-07-07,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"pena, felipe","brazilian jiu-jitsu","clomiphene","1-year suspension; loss  of results","06/16/2022",2022-06-16,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"monastyrskyi, andrii","canoe","meldonium","3-year suspension; loss of results","06/02/2022",2022-06-02,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"evans-smith, ashlee","mixed martial arts","dehydroepiandrosterone (dhea)","14-month suspension","05/16/2022",2022-05-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"blanchfield, erin","mixed martial arts","spironolactone","public warning","05/13/2022",2022-05-13,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"downing, tricia","para shooting","androgenic anabolic steroid","2-year suspension","05/09/2022",2022-05-09,FALSE,TRUE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"irizarry, ana","track & field","meldonium","3-year suspension; loss of results","05/04/2022",2022-05-04,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"valdes, hanncer","cycling","stanozolol","4-year suspension; loss of results","04/28/2022",2022-04-28,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"borrego lee, geony","cycling","phentermine","3-year suspension; loss of results","04/20/2022",2022-04-20,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"mckay, dryden","ice hockey","ostarine","6-month suspension; loss of results","04/18/2022",2022-04-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"summerhill, daniel","cycling","amphetamine","1-year suspension; loss of results","03/31/2022",2022-03-31,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"abers, brian","cycling","ibutamoren","1-year suspension; loss of results","03/18/2022",2022-03-18,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"palmer, ahje","weightlifting","cannabinoids","1-month suspension; loss of results","03/11/2022",2022-03-11,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"lazishvili, zviad","mixed martial arts","clomiphene","10-month suspension","02/23/2022",2022-02-23,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"bowlby, grace","ice hockey","spironolactone","public warning","12/16/2021",2021-12-16,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"lampkin, trey","paralympic judo","hydrochlorothiazide (hctz)","public warning","12/07/2021",2021-12-07,FALSE,TRUE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"wethington, madeline","ice hockey","spironolactone","public warning","12/06/2021",2021-12-06,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"webb, noah","triathlon","androgenic anabolic steroid","4-year suspension; loss of results","11/29/2021",2021-11-29,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"benoit, ryan","mixed martial arts","modafinil","10-month suspension","11/08/2021",2021-11-08,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"jackson, desmond","paralympic track & field","dehydroepiandrosterone (dhea)","14-month suspension; loss of results","10/21/2021",2021-10-21,FALSE,TRUE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"augusto de freitas, geraldo","mixed martial arts","androgenic anabolic steroid","2-year suspension","10/13/2021",2021-10-13,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"mcwhirter, matt","cycling","androgenic anabolic steroid","4-year suspension; loss of results","09/30/2021",2021-09-30,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"bontorin, rogerio","mixed martial arts","hydrochlorothiazide (hctz)","3-month suspension","09/29/2021",2021-09-29,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"prince, mcaben","cycling","androgenic anabolic steroid","4-year suspension; loss of results","09/14/2021",2021-09-14,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"shakirova, liliya","mixed martial arts","meldonium","2-year suspension","08/30/2021",2021-08-30,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"buckley, christian","weightlifting","ostarine","3-year suspension - loss of results","08/25/2021",2021-08-25,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"compton, katherine","cycling","androgenic anabolic steroid","4-year suspension; loss of results","08/11/2021",2021-08-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"hancock, regina","weightlifting","stanozolol","4-year suspension; loss of results","08/11/2021",2021-08-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"alvis, juancamilo ronderos","mixed martial arts","cocaine","1-month suspension","07/29/2021",2021-07-29,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"richardson, sha'carri","track & field","cannabinoids","1-month suspension; loss of results","07/02/2021",2021-07-02,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"nelson, james","weightlifting","dehydrochloromethyltestosterone (dhcmt)","4-year suspension; loss of results","07/01/2021",2021-07-01,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"koch, erik","mixed martial arts","stanozolol","18-month suspension","06/16/2021",2021-06-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"montgomery, kahmari","track & field","cannabinoids","1-month suspension; loss of results","06/03/2021",2021-06-03,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"piechota, oskar","mixed martial arts","growth hormone releasing peptide 2 (ghrp-2)","22-month suspension","05/05/2021",2021-05-05,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"jackson, tate","swimming","cannabinoids","1-month suspension; loss of results","04/29/2021",2021-04-29,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"koehly, rebekah","weightlifting","testosterone","20-month suspension; loss of results","04/28/2021",2021-04-28,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"igbokwe, obichukwu","track & field","dehydrochloromethyltestosterone (dhcmt)","30-month suspension; loss of results","04/08/2021",2021-04-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"burkett, richard","paralympic archery","testosterone","15-month suspension; loss of results","04/05/2021",2021-04-05,FALSE,TRUE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"ellis, james","weightlifting","cannabinoids","6-month suspension; loss of results","03/05/2021",2021-03-05,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"thomas, lorenzo","rugby","gw1516","4-year suspension; loss of results","03/04/2021",2021-03-04,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"azaitar, abu","mixed martial arts","tamoxifen","7-month suspension","02/01/2021",2021-02-01,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"ewell, andre","mixed martial arts","ostarine","public warning","01/19/2021",2021-01-19,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"santanna, eduarda neves","mixed martial arts","lgd-4033","1-year suspension","01/15/2021",2021-01-15,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"castro, vinicius moreira","mixed martial arts","anastrozole","public warning","01/15/2021",2021-01-15,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"blocker, jasmine","track & field","spironolactone","public warning","12/28/2020",2020-12-28,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"munsell, megan","weightlifting","gw1516","4-year suspension; loss of results","12/22/2020",2020-12-22,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"williams, susanne","weightlifting","ostarine","4-year suspension; loss of results","12/16/2020",2020-12-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"pelegrin, robert","cycling","anastrozole","1-year suspension; loss of results","12/09/2020",2020-12-09,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"barriault, marc-andre","mixed martial arts","ostarine","6-month suspension","12/04/2020",2020-12-04,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"rodriguez, yair","mixed martial arts","3 whereabouts failures","6-month suspension","12/03/2020",2020-12-03,FALSE,FALSE,FALSE,"non-analytic","single",NA
"pessoa nunes, raphael","mixed martial arts","hydrochlorothiazide (hctz)","1-year suspension","11/23/2020",2020-11-23,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"fiechter, olivia","squash","spironolactone","public warning","11/20/2020",2020-11-20,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"ronson, jesse","mixed martial arts","metandienone","20-month suspension","11/18/2020",2020-11-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"sherman, chase","mixed martial arts","anastrozole","9-month suspension","10/20/2020",2020-10-20,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"martin, jeff","cycling","androgenic anabolic steroid","2-year suspension; loss of results","10/01/2020",2020-10-01,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"millican, morgan","weightlifting","clomiphene","2-year suspension; loss of results","09/29/2020",2020-09-29,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"harroufi, ridouane","track & field","androgenic anabolic steroid","8-year suspension; loss of results","09/24/2020",2020-09-24,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"fritzen procopio, lara","mixed martial arts","ostarine","6-month suspension","09/21/2020",2020-09-21,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"mccullough, matthew","weightlifting","higenamine","20-month suspension; loss of results","09/17/2020",2020-09-17,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"wood, jonathan","cycling","androgenic anabolic steroid","2-year suspension;  loss of results","09/09/2020",2020-09-09,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"fix, daton","wrestling","ostarine","1-year suspension; loss of results","09/08/2020",2020-09-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"doskalchuk, oleksandr","mixed martial arts","mesterolone","14-month suspension","09/02/2020",2020-09-02,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"gicquel, barbara","cycling","methyltestosterone","1-year suspension; loss of results","08/14/2020",2020-08-14,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"melendez, gilbert","mixed martial arts","ghrp-6","2-year suspension","07/27/2020",2020-07-27,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"castille, kevin","track & field","19-norandrosterone (19-na)","4-year suspension; loss of results","07/16/2020",2020-07-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"alonso, leynier","cycling","phentermine","4-year suspension; loss of results","06/30/2020",2020-06-30,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"arruda da silva, bruno","mixed martial arts","boldenone","2-year suspension","06/22/2020",2020-06-22,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"walsh, cole","track & field","cannabinoids","6-month suspension with 3-month deferral; loss of results","06/01/2020",2020-06-01,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"gastelum, kelvin","mixed martial arts","cannabinoids","9-month suspension with 5-month deferral","05/11/2020",2020-05-11,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"ortiz, robert","weightlifting","cannabinoids","12-month suspension with 6-month deferral; loss of results","05/04/2020",2020-05-04,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"jones, addison","weightlifting","cannabinoids","6-month suspension with 3-month deferral; loss of results","03/05/2020",2020-03-05,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"penne, jessica","mixed martial arts","stanozolol","20-month suspension","02/28/2020",2020-02-28,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"de padua, isabela","mixed martial arts","19-norandrosterone (19-na)","2-year suspension","02/27/2020",2020-02-27,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"strange, robert","weightlifting","dehydroepiandrosterone (dhea)","1-year suspension; loss of results","02/21/2020",2020-02-21,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"prazeres, michel","mixed martial arts","boldenone","2-year suspension","02/11/2020",2020-02-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"duarte, kaynan","brazilian jiu-jitsu","ostarine","1-year suspension","02/07/2020",2020-02-07,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"o'malley, sean","mixed martial arts","ostarine","6-month suspension","01/09/2020",2020-01-09,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"dumala, samantha","waterskiing","spironolactone","public warning","01/07/2020",2020-01-07,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"dreaver, ted","weightlifting","androgenic anabolic steroid","39-month suspension; loss of results","01/06/2020",2020-01-06,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"martinez, cristofer","weightlifting","5-methylhexan-2-amine","2-year suspension; loss of results","12/27/2019",2019-12-27,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"taha, khalid","mixed martial arts","furosemide","1-year suspension","12/23/2019",2019-12-23,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"merrell, miranda","weightlifting","oxandrolone","2-year suspension; loss of results","12/19/2019",2019-12-19,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"cachoeira gomes da silva, priscila","mixed martial arts","hydrochlorothiazide","4-month suspension","12/18/2019",2019-12-18,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"gochenour, alexandria","track & field","ostarine","4-year suspension; loss of results","12/17/2019",2019-12-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"shafer, janelle","weightlifting","ostarine","4-year suspension; loss of results","12/17/2019",2019-12-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"letellier, lawrence","weightlifting","clomiphene","2-year suspension; loss of results","12/04/2019",2019-12-04,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"nunez, erik","weightlifting","gw1516","4-year suspension; loss of results","11/21/2019",2019-11-21,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"anderson, kaley","weightlifting","di‐hydroxy‐lgd‐4033","4-year suspension; loss of results","11/20/2019",2019-11-20,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"nunes souza, istela iane","mixed martial arts","stanozolol","2-year suspension","10/25/2019",2019-10-25,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"y frederico salvador de lemos, giacomo","mixed martial arts","drostanolone","2-year suspension","10/24/2019",2019-10-24,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"arte, john allan","mixed martial arts","tamoxifen","1-year suspension","10/18/2019",2019-10-18,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"gatto regonha, melissa","mixed martial arts","furosemide","1-year suspension","10/17/2019",2019-10-17,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"kurth, ty","cycling","testosterone","2-year suspension; loss of results","10/17/2019",2019-10-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"dwyer, conor","swimming","androgenic anabolic steroid","20-month suspension; loss of results; sanction tolled due to retirement","10/11/2019",2019-10-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"carlberg, angela","weightlifting","vilanterol","public warning","09/27/2019",2019-09-27,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"branch, david","mixed martial arts","ipamorelin","2-year suspension","09/18/2019",2019-09-18,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"frota lima, sarah","mixed martial arts","stanozolol","2-year suspension","09/17/2019",2019-09-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"goss, lauren","triathlon","cannabinoids","6-month suspension; loss of results","09/05/2019",2019-09-05,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"schafer, mallory","triathlon","higenamine","10-month suspension","07/30/2019",2019-07-30,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"galloway, jacqueline","taekwondo","ibutamoren","6-month suspension","07/29/2019",2019-07-29,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"amedovski, alen","mixed martial arts","cannabinoids","6-month suspension with 3-month deferral","07/18/2019",2019-07-18,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"shtyrkov, ivan","mixed martial arts","boldenone","2-year suspension","07/09/2019",2019-07-09,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"le, talina","taekwondo","higenamine","18-month suspension; loss of results","07/08/2019",2019-07-08,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"hu, yaozong","mixed martial arts","androsta-3,5-diene-7,17-dione","10-month suspension","06/14/2019",2019-06-14,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"waterstraat, elizabeth","triathlon","ostarine","6-month suspension; loss of results","05/24/2019",2019-05-24,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"omar, mohamed","weightlifting","clomiphene","2-year suspension; loss of results;","05/07/2019",2019-05-07,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"tisinger-ledkins, janel","racquetball","octopamine","16-month suspension; loss of results","05/02/2019",2019-05-02,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"montano, nicco","mixed martial arts","ostarine","6-month suspension","04/23/2019",2019-04-23,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"o'malley, sean","mixed martial arts","ostarine","6-month suspension","04/23/2019",2019-04-23,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"vettori, marvin","mixed martial arts","ostarine","6-month suspension","04/23/2019",2019-04-23,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"mendes, augusto","mixed martial arts","ostarine","6-month suspension","04/23/2019",2019-04-23,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"harris, walt","mixed martial arts","lgd-4033","4-month suspension","04/22/2019",2019-04-22,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"taisumov, mairbek","mixed martial arts","stanozolol","6-month suspension","04/11/2019",2019-04-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"dillashaw, tj","mixed martial arts","recombinant human erythropoietin (rhuepo)","2-year suspension","04/09/2019",2019-04-09,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"murzakanov, azamat","mixed martial arts","boldenone","2-year suspension","04/08/2019",2019-04-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"baratto, joseph","cycling","androgenic anabolic steroid","1-year suspension; loss of results","03/20/2019",2019-03-20,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"logan, devin","skiing","cannabinoids","6-month suspension with 3-month deferral - loss of results","03/01/2019",2019-03-01,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"schenk, cheyenne","weightlifting","cannabinoids","6-month suspension with 3-month deferral - loss of results","02/26/2019",2019-02-26,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"murtazaliev, khalid","mixed martial arts","drostanolone","2-year suspension","02/22/2019",2019-02-22,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
