athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic,sanction_type,multiple_sr
"root, tim",cycling,non-analytical: failure to appear to sample collection,4-year suspension - loss of results,2016-11-02,FALSE,FALSE,FALSE,non-analytical,FALSE
"ulloa, camilo",cycling,androgenic anabolic steroid and methylphenidate,4-year suspension - loss of results,2016-10-26,FALSE,FALSE,FALSE,analytical,TRUE
"edilov, abdul-kerim",mixed martial arts,meldonium,15 month suspension - loss of results,2016-10-21,FALSE,FALSE,FALSE,analytical,FALSE
"danielson, tom",cycling,androgenic anabolic steroid,4-year suspension - loss of results; second violation,2016-10-06,FALSE,FALSE,FALSE,analytical,FALSE
"diaz, nate",mixed martial arts,cannabinoids,public warning,2016-10-06,FALSE,FALSE,FALSE,analytical,FALSE
"d'aurelio, shawn",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2016-10-03,FALSE,FALSE,FALSE,non-analytical,FALSE
"kimmons, trell",track & field,"1,3-dimethylbutylamine",2-year suspension - loss of results,2016-09-27,FALSE,FALSE,FALSE,analytical,FALSE
"schwab, jeff",cycling,androgenic anabolic steroid,2-year suspension - loss of results,2016-09-08,FALSE,FALSE,FALSE,analytical,FALSE
"rivera, rizelyx",weightlifting,oxycodone,1-year suspension - loss of results,2016-09-06,FALSE,FALSE,FALSE,analytical,FALSE
"fagua raquira, ana milena",cycling,androgenic anabolic steroid,4-year suspension - loss of results,2016-09-01,FALSE,FALSE,FALSE,analytical,FALSE
"denney phillips, jessica","cycling, weightlifting",non-analytical: use (iv),14 month suspension - loss of results,2016-08-24,FALSE,TRUE,FALSE,non-analytical,FALSE
"baatz, robert",cycling,androgenic anabolic steroid,2-year suspension - loss of results,2016-08-23,FALSE,FALSE,FALSE,analytical,FALSE
"ciolli, kimberly",cycling,androgenic anabolic steroid and propylhexadrine,2-year suspension - loss of results,2016-08-22,FALSE,FALSE,FALSE,analytical,TRUE
"burka gameda, gebo",track & field,prednisone,18-month suspension - loss of results,2016-08-19,FALSE,FALSE,FALSE,analytical,FALSE
"verrando-higgins, mary",cycling,metabolites of methyltestosterone,1-year suspension - loss of results,2016-08-15,FALSE,FALSE,FALSE,analytical,FALSE
"riggs, crystal",weightlifting,furosemide,6-month suspension - loss of results,2016-08-12,FALSE,FALSE,FALSE,analytical,FALSE
"cawley, thomas",track & field,non-analytical: use,4-year suspension - loss of results; sanction tolled due to retirement,2016-08-11,FALSE,FALSE,FALSE,non-analytical,FALSE
"anderson, robert",paralympic judo,non-analytical: use (vilanterol),3-month suspension - loss of results,2016-08-04,FALSE,FALSE,TRUE,non-analytical,FALSE
"palmer, liz",track & field,methandienone metabolite,4-year suspension with 6 month reduction - loss of results,2016-08-03,FALSE,FALSE,FALSE,analytical,FALSE
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid & 19-norandrosterone (19-na),2-year suspension - loss of results,2016-07-29,FALSE,FALSE,FALSE,analytical,TRUE
"bough, gino",karate,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2016-07-25,FALSE,FALSE,FALSE,non-analytical,FALSE
"mendes, chad",mixed martial arts,growth hormone-releasing hexapeptide,2-year suspension - loss of results,2016-07-20,FALSE,FALSE,FALSE,analytical,FALSE
"pizza, gregory",track & field,androgenic anabolic steroid,20-month suspension - loss of results,2016-07-20,FALSE,FALSE,FALSE,analytical,FALSE
"dutta, susan",equestrian,methylprednisolone,public warning - loss of results,2016-07-19,FALSE,FALSE,FALSE,analytical,FALSE
"howe, james",taekwondo,cannabinoids,6-month suspension with 3-month deferral - loss of results,2016-07-12,FALSE,FALSE,FALSE,analytical,FALSE
"brandt-sorenson, nick",cycling,"non-analytical: possession, trafficking and complicity  (epo & hgh)",lifetime suspension - loss of results; second & third violation,2016-07-11,FALSE,FALSE,FALSE,non-analytical,TRUE
"penn, bj",mixed martial arts,non-analytical: use (iv),6-month suspension,2016-06-27,FALSE,FALSE,FALSE,non-analytical,FALSE
"tierney, sam",swimming,non-analytical: use (vilanterol),public warning,2016-06-24,FALSE,FALSE,FALSE,non-analytical,FALSE
"berry, gwen",track & field,non-analytical: use (vilanterol),3-month suspension - loss of results,2016-06-13,FALSE,FALSE,FALSE,non-analytical,FALSE
"williams, nia",rugby,"19-norandrosterone (19-na), 19-noretiocholanolone, and drostanolone and its metabolites",4-year suspension - loss of results,2016-06-13,FALSE,FALSE,FALSE,analytical,TRUE
"means, tim",mixed martial arts,ostarine,6-month suspension - loss of results,2016-06-10,FALSE,FALSE,FALSE,analytical,FALSE
"brandao, diego",mixed martial arts,cannabinoids,9-month suspension - loss of results,2016-05-19,FALSE,FALSE,FALSE,analytical,FALSE
"faria, breno correina abrantes",brazilian jiu-jitsu - athlete support personnel,non-analytical,4-year suspension - loss of results,2016-05-18,TRUE,FALSE,FALSE,non-analytical,FALSE
"lehr, daniel",weightlifting,"androstenedione, ostarine",4-year suspension with 3-month reduction - loss of results,2016-05-02,FALSE,FALSE,FALSE,analytical,TRUE
"lugo, yamile",cycling,androgenic anabolic steroid,4-year suspension with 2-year reduction - loss of results,2016-04-26,FALSE,FALSE,FALSE,analytical,FALSE
"romero, yoel",mixed martial arts,ibutamoren,6-month suspension,2016-04-04,FALSE,FALSE,FALSE,analytical,FALSE
"de castroverde, landon",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2016-04-01,FALSE,FALSE,FALSE,non-analytical,FALSE
"paulson, ashley",triathlon,ostarine,6-month suspension - loss of results,2016-03-31,FALSE,FALSE,FALSE,analytical,FALSE
"cho, chris hyun",weightlifting,dimethylbutylamine,6-month suspension - loss of results,2016-03-30,FALSE,FALSE,FALSE,analytical,FALSE
"buckley, michael",cycling,"androgenic anabolic steroid, anastrozole, lgd-4033 and ostarine",4-year suspension - loss of results,2016-03-25,FALSE,FALSE,FALSE,analytical,TRUE
"lo, wayne",paralympic table tennis,hydrochlorothiazide and chlorothiazide,public warning - loss of results,2016-03-09,FALSE,FALSE,TRUE,analytical,TRUE
"tibau, gleison",mixed martial arts,erythropoietin (epo),2-year suspension - loss of results,2016-02-18,FALSE,FALSE,FALSE,analytical,FALSE
"leeper, blake (patrick)",paralympic track & field,benzoylecgonine,1-year suspension - loss of results,2016-02-01,FALSE,FALSE,TRUE,analytical,FALSE
"kyle, cicely",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,2015-12-30,FALSE,FALSE,FALSE,analytical,FALSE
"roberto, joseph",weightlifting,ghrp-2,4-year suspension - loss of results,2015-12-29,FALSE,FALSE,FALSE,analytical,FALSE
"mariita, lilian",track & field,androgenic anabolic steroid,8-year suspension - loss of results,2015-12-28,FALSE,FALSE,FALSE,analytical,FALSE
"harbert, tara",baseball,tamoxifen and non-analytical: refusal to submit to sample collection,8-year suspension - loss of results; sanction tolled due to retirement,2015-12-21,FALSE,FALSE,FALSE,non-analytical,TRUE
"rolo, nelson",cycling,benzoylecgonine,1-year suspension - loss of results,2015-12-11,FALSE,FALSE,FALSE,analytical,FALSE
"hickman, todd",cycling,stanozolol / methylphenidate,4-year suspension - loss of results,2015-12-04,FALSE,FALSE,FALSE,analytical,TRUE
"filipovic, mirko",mixed martial arts,human growth hormone (hgh),2-year suspension - loss of results,2015-11-25,FALSE,FALSE,FALSE,analytical,FALSE
"arello jr., robert",track & field,"hydrochlorothiazide, chlorothiazide",public warning - loss of results,2015-10-27,FALSE,FALSE,FALSE,analytical,TRUE
"coushay, brian",track & field,amphetamine,2-year suspension - loss of results,2015-10-23,FALSE,FALSE,FALSE,analytical,FALSE
"mulwitz, lauren",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,2015-09-11,FALSE,FALSE,FALSE,analytical,FALSE
"rybka, jason",weightlifting,"methasterone, ostarine, androstatrienedione",4-year suspension with 8 month reduction - loss of results,2015-08-18,FALSE,FALSE,FALSE,analytical,TRUE
"field, emily",ice hockey,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2015-06-08,FALSE,FALSE,FALSE,non-analytical,FALSE
"radcliffe, robert",triathlon,"non-analytical: use and possession (epo, hgh)",18-month suspension - loss of results,2015-06-05,FALSE,FALSE,FALSE,non-analytical,TRUE
"radcliffe, brook",triathlon,non-analytical: use and possession (epo),2-year suspension - loss of results,2015-06-04,FALSE,FALSE,FALSE,non-analytical,TRUE
"schmidt, kyle",cycling,non-analytical: use and possession (epo),2-year suspension - loss of results,2015-06-02,FALSE,FALSE,FALSE,non-analytical,TRUE
"pena, felipe",brazilian jiu-jitsu,androgenic anabolic steroid,2-year suspension with 1 year reduction - loss of results,2015-05-26,FALSE,FALSE,FALSE,analytical,FALSE
"luck, jonathan (carter)",cycling,non-analytical: use and possession (hgh & testosterone),12-month suspension - loss of results,2015-05-13,FALSE,FALSE,FALSE,non-analytical,TRUE
"mcgillivray, deanna",team handball,"trenbolone, epitrenbolone",2-year suspension - loss of results,2015-04-02,FALSE,FALSE,FALSE,analytical,TRUE
"mutinda, joseph",track & field,"19-norandrosterone, epo, furosemide",3-year suspension - loss of results,2015-03-25,FALSE,FALSE,FALSE,analytical,TRUE
"odesnik, wayne",tennis,"methenolone, androst-(2,3)-en-17-one, and ghrp-6",15-year suspension - loss of results,2015-03-18,FALSE,FALSE,FALSE,analytical,TRUE
"ketema asfaw, atalelech",track & field,ephedrine,2-year suspension - loss of results,2015-03-12,FALSE,FALSE,FALSE,analytical,FALSE
"leinders, geert",cycling - athlete support personnel,"non-analytical: possession, trafficking, and administration",lifetime suspension,2015-01-22,TRUE,FALSE,FALSE,non-analytical,TRUE
"north, jonathan",weightlifting,non-analytical: 3 whereabouts failures,2-year suspension - loss of results; sanction tolled due to retirement; unretired - eligible to compete starting 2/1/2019,2015-01-22,FALSE,FALSE,FALSE,non-analytical,FALSE
"poole, quintaveon",track & field,methylhexaneamine,6-month suspension - loss of results,2015-01-20,FALSE,FALSE,FALSE,analytical,FALSE
"anderson, kristi",track & field,androgenic anabolic steroid,1-year suspension - loss of results,2014-12-23,FALSE,FALSE,FALSE,analytical,FALSE
"mcpherson, inika",track & field,benzoylecgonine,21-month suspension - loss of results,2014-12-19,FALSE,FALSE,FALSE,analytical,FALSE
"drummond, jon",track & field - athlete support personnel,"non-analytical: possession, trafficking, and administration",8-year suspension,2014-12-17,TRUE,FALSE,FALSE,non-analytical,TRUE
"estima, braulio",brazilian jiu-jitsu,methylhexaneamine,2-year suspension - loss of results,2014-11-25,FALSE,FALSE,FALSE,analytical,FALSE
"carlin, nikki",weightlifting,"clenbuterol, and oxandrolone and its metabolite",2-year suspension - loss of results; sanction tolled due to a whereabouts compliance failure,2014-11-14,FALSE,FALSE,FALSE,analytical,TRUE
"perkins, ravaughn",wrestling,furosemide,6-month suspension - loss of results,2014-10-16,FALSE,FALSE,FALSE,analytical,FALSE
"erickson, sarah",ice hockey,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2014-10-13,FALSE,FALSE,FALSE,non-analytical,FALSE
"dana, ryan",weightlifting,androgenic anabolic steroid,21-month suspension - loss of results,2014-10-09,FALSE,FALSE,FALSE,analytical,FALSE
"o'hara, damian",judo,"methylclostebol, promagnon",1-year suspension - loss of results,2014-10-08,FALSE,FALSE,FALSE,analytical,TRUE
"spearmon, jr., wallace",track & field,methylprednisolone,3-month suspension - loss of results,2014-09-19,FALSE,FALSE,FALSE,analytical,FALSE
"martin, james",cycling,non-analytical: failure to appear to sample collection,2-year suspension - loss of results,2014-08-19,FALSE,FALSE,FALSE,non-analytical,FALSE
"loader, logan",cycling,methylhexaneamine,8-month suspension - loss of results; sanction tolled due to retirement,2014-07-16,FALSE,FALSE,FALSE,analytical,FALSE
"ives, kevin",bobsled and skeleton,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2014-07-08,FALSE,TRUE,FALSE,non-analytical,FALSE
"hicks, jeremy",track & field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2014-06-20,FALSE,FALSE,FALSE,non-analytical,FALSE
"trojan, nicholas",rowing,methylphenidate and its metabolite,9-month suspension - loss of results,2014-06-11,FALSE,FALSE,FALSE,analytical,TRUE
"dixon, reginald",track & field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2014-06-06,FALSE,FALSE,FALSE,non-analytical,FALSE
"blanc, obenson",wrestling,ostarine,2-year suspension - loss of results,2014-05-15,FALSE,FALSE,FALSE,analytical,FALSE
"robertson, todd",cycling,modafinil,8-year suspension - loss of results; second violation,2014-05-08,FALSE,FALSE,FALSE,analytical,FALSE
"gay, tyson",track & field,androgenic anabolic steroid,2-year suspension with 1 year reduction - loss of results,2014-05-02,FALSE,FALSE,FALSE,analytical,FALSE
"koon, paul",boxing,non-analytical: 3 whereabouts failures,2-year suspension - loss of results,2014-04-28,FALSE,FALSE,FALSE,non-analytical,FALSE
"davis, walter",track & field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2014-04-21,FALSE,FALSE,FALSE,non-analytical,FALSE
"carnes, andrew",track & field,"non-analytical: possession, use and possession (epo)",2-year suspension - loss of results,2014-04-18,FALSE,FALSE,FALSE,non-analytical,TRUE
"lemos garcia, gabrielle",brazilian jiu-jitsu,clomiphene,loss of results,2014-03-26,FALSE,FALSE,FALSE,analytical,FALSE
"o'keefe, shannon",bowling,clomiphene,public warning,2014-03-14,FALSE,FALSE,FALSE,analytical,FALSE
"atkinson, annie",judo,"hydrochlorothiazide, chlorothiazide, triamterene, 4-hydroxytriamterene",3-month suspension - loss of results,2014-02-28,FALSE,FALSE,FALSE,analytical,TRUE
"perry, brett",speedskating,methylphenidate and its metabolite,9-month suspension - loss of results,2014-02-26,FALSE,FALSE,FALSE,analytical,TRUE
"beyene, hirut",track & field,methylhexaneamine,4 month suspension - loss of results,2014-02-21,FALSE,FALSE,FALSE,analytical,FALSE
"marte, cesar",cycling,modafinil,2-year suspension - loss of results,2014-02-03,FALSE,FALSE,FALSE,analytical,FALSE
"baker, daniel",cycling,androgenic anabolic steroid,2-year suspension - loss of results,2014-01-24,FALSE,FALSE,FALSE,analytical,FALSE
"robles, sarah",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,2014-01-14,FALSE,FALSE,FALSE,analytical,FALSE
"leduc, david",cycling,"androgenic anabolic steroid,  erythropoietin (epo) and amphetamine",2-year suspension - loss of results,2013-12-30,FALSE,FALSE,FALSE,analytical,TRUE
"klineman, alexandra",volleyball,androgenic anabolic steroid,13-month suspension - loss of results,2013-12-20,FALSE,FALSE,FALSE,analytical,FALSE
"akor, mary",track & field,clenbuterol,2-year suspension - loss of results,2013-12-18,FALSE,FALSE,FALSE,analytical,FALSE
"rogers, jason",cycling,methylhexaneamine,9-month suspension - loss of results,2013-11-27,FALSE,FALSE,FALSE,analytical,FALSE
"meeker, richard",cycling,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,2013-11-26,FALSE,FALSE,FALSE,analytical,TRUE
"morelli, shawn",paralympic cycling,methylhexaneamine,180 day suspension - loss of results,2013-11-15,FALSE,FALSE,TRUE,analytical,FALSE
"camarena-williams, jillian",track & field,clomiphene,6-month suspension - loss of results,2013-10-04,FALSE,FALSE,FALSE,analytical,FALSE
"crouse, camdin",paralympic track & field,amphetamine and methylhexaneamine,2-year suspension - loss of results; sanction extended due to a whereabouts compliance failure,2013-09-23,FALSE,FALSE,TRUE,analytical,TRUE
"walden, spencer",track & field,cannabinoids,6-month suspension with 3-month deferral - loss of results,2013-09-20,FALSE,FALSE,FALSE,analytical,FALSE
"bradley, dominique",wrestling,methylhexaneamine,8-month suspension - loss of results,2013-09-06,FALSE,FALSE,FALSE,analytical,FALSE
"aira, yoelkis",cycling,phentermine,2-year suspension - loss of results,2013-09-05,FALSE,FALSE,FALSE,analytical,FALSE
"ramos, don",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,2013-08-30,FALSE,FALSE,FALSE,analytical,FALSE
"flood, gregory",rowing,glycerol,public warning - loss of results,2013-08-20,FALSE,FALSE,FALSE,analytical,FALSE
"petrucci, frank",rowing,glycerol,public warning - loss of results,2013-08-20,FALSE,FALSE,FALSE,analytical,FALSE
"klier, andreas",cycling,"non-analytical: use (epo, hgh, cortisone, blood tranfusions)",6-month suspension - loss of results,2013-08-15,FALSE,FALSE,FALSE,non-analytical,TRUE
"dyer, kristopher",weightlifting,methylhexaneamine,9-month suspension - loss of results,2013-08-09,FALSE,FALSE,FALSE,analytical,FALSE
"wilhelm, brian",weightlifting,methylhexaneamine,9-month suspension - loss of results,2013-08-08,FALSE,FALSE,FALSE,analytical,FALSE
"teeple, sloan","cycling, triathlon",androgenic anabolic steroid,18-month suspension - loss of results,2013-06-28,FALSE,TRUE,FALSE,analytical,FALSE
"anwar, abdallah",paralympic boccia,hydrochlorothiazide and chlorothiazide,public warning,2013-06-20,FALSE,FALSE,TRUE,analytical,TRUE
"ostrowski, cameron",track & field,methylhexaneamine,2-year suspension with 1 year reduction - loss of results,2013-06-07,FALSE,FALSE,FALSE,analytical,FALSE
"downing, trey",track & field,non-analytical: refusal to submit to sample collection,18-month suspension - loss of results,2013-05-31,FALSE,FALSE,FALSE,non-analytical,FALSE
"flanagan, tyler",skiing and snowboarding,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results; sanction tolled,2013-05-09,FALSE,TRUE,FALSE,non-analytical,FALSE
"pol rodriguez, yosmani",cycling,dexamethasone,2-year suspension - loss of results,2013-04-19,FALSE,FALSE,FALSE,analytical,FALSE
"crawford, shawn",track & field,non-analytical: 3 whereabouts failures,2-year suspension - loss of results,2013-04-18,FALSE,FALSE,FALSE,non-analytical,FALSE
"morales, erik",professional boxing,clenbuterol,2-year suspension - loss of results,2013-03-22,FALSE,FALSE,FALSE,analytical,FALSE
"hersey, mike",paralympic sailing,hydrochlorothiazide and chlorothiazide,public warning,2013-03-12,FALSE,FALSE,TRUE,analytical,TRUE
"wenzel, roger",track & field,androgenic anabolic steroid and modafinil,2-year suspension - loss of results,2013-03-08,FALSE,FALSE,FALSE,analytical,TRUE
"aldredge, graham",cycling,non-analytical: failure to appear to sample collection,16-month suspension - loss of results,2013-02-22,FALSE,FALSE,FALSE,non-analytical,FALSE
"jay-rayon, cyril",cycling,modafinil,18-month suspension - loss of results,2012-12-31,FALSE,FALSE,FALSE,analytical,FALSE
"hall, joseph",shooting,19-norandrosterone (19-na) and 19-noretiocholanolone,1-year suspension - loss of results,2012-12-21,FALSE,FALSE,FALSE,analytical,TRUE
"vessey, maggie",track & field,canrenone,public warning - loss of results,2012-12-21,FALSE,FALSE,FALSE,analytical,FALSE
"hesch, christian",track & field,non-analytical: use (epo),2-year suspension with 6 month reduction - loss of results,2012-12-14,FALSE,FALSE,FALSE,non-analytical,FALSE
"fretta, mark",triathlon,abp and non-analytical: use (epo),4-year suspension - loss of results,2012-11-09,FALSE,FALSE,FALSE,non-analytical,TRUE
"barry, michael",cycling,"non-analytical: use (epo, hgh, testosterone)",6-month suspension - loss of results,2012-10-10,FALSE,FALSE,FALSE,non-analytical,TRUE
"danielson, tom",cycling,"non-analytical: use (epo, hgh, testosterone, cortisone, blood transfusions)",6-month suspension - loss of results,2012-10-10,FALSE,FALSE,FALSE,non-analytical,TRUE
"hincapie, george",cycling,"non-analytical: use (epo, hgh, testosterone, blood transfusions)",6-month suspension - loss of results,2012-10-10,FALSE,FALSE,FALSE,non-analytical,TRUE
"leipheimer, levi",cycling,"non-analytical: use (epo, testosterone, blood transfusions)",6-month suspension - loss of results,2012-10-10,FALSE,FALSE,FALSE,non-analytical,TRUE
"vande velde, christian",cycling,"non-analytical: use (epo, hgh, testosterone, cortisone)",6-month suspension - loss of results,2012-10-10,FALSE,FALSE,FALSE,non-analytical,TRUE
"zabriskie, david",cycling,"non-analytical: use (epo, hgh, testosterone)",6-month suspension - loss of results,2012-10-10,FALSE,FALSE,FALSE,non-analytical,TRUE
"cruz, julio",cycling,methylhexaneamine,6-month suspension - loss of results,2012-09-14,FALSE,FALSE,FALSE,analytical,FALSE
"dunn anderson, debbie",track & field,androgenic anabolic steroid,2-year suspension - loss of results,2012-09-11,FALSE,FALSE,FALSE,analytical,FALSE
"guarini, gabriele",cycling,erythropoietin (epo),2-year suspension - loss of results,2012-09-07,FALSE,FALSE,FALSE,analytical,FALSE
"andrus, steven",wrestling,cannabinoids & amphetamine,1-year suspension - loss of results,2012-08-31,FALSE,FALSE,FALSE,analytical,TRUE
"lopez, cesar",cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,2012-08-31,FALSE,FALSE,FALSE,analytical,FALSE
"armstrong, lance",cycling,"non-analytical: use, possession, trafficking, administration and complicity",lifetime suspension - loss of results,2012-08-24,FALSE,FALSE,FALSE,non-analytical,TRUE
"bascio, monica","paralympic nordic skiing, paralympic cycling",tuaminoheptane,3-month suspension - loss of results,2012-08-15,FALSE,TRUE,TRUE,analytical,FALSE
"brown, matthew",paralympic track & field,hydrochlorothiazide & chlorothiazide,1-year suspension - loss of results; second violation,2012-08-03,FALSE,FALSE,TRUE,analytical,TRUE
"anthony, david",cycling,erythropoietin (epo),2-year suspension - loss of results,2012-07-25,FALSE,FALSE,FALSE,analytical,FALSE
"fletcher, mark",judo,cannabinoids,3-month suspension - loss of results,2012-07-18,FALSE,FALSE,FALSE,analytical,FALSE
"gilbert, joshua",weightlifting,furosemide and non-analytical: refusal to submit to sample collection,3-year suspension - loss of results,2012-07-17,FALSE,FALSE,FALSE,non-analytical,TRUE
"ferrari, michele",cycling - athlete support personnel,non-analytical,lifetime suspension,2012-07-10,TRUE,FALSE,FALSE,non-analytical,FALSE
"solo, hope",soccer,canrenone,public warning,2012-07-09,FALSE,FALSE,FALSE,analytical,FALSE
"lee, stephany",wrestling,cannabinoids,1-year suspension - loss of results; second violation,2012-06-28,FALSE,FALSE,FALSE,analytical,FALSE
"madsen, angela","paralympic track & field, paralympic rowing",fentanyl,public warning - loss of results,2012-06-22,FALSE,TRUE,TRUE,analytical,FALSE
"stacy, shelby",cycling,methylhexaneamine,6-month suspension - loss of results,2012-06-16,FALSE,FALSE,FALSE,analytical,FALSE
"shields, jerry",paralympic archery,"hydrochlorothiazide, chlorothiazide, triamterene and labetalol",public warning - loss of results,2012-04-27,FALSE,FALSE,TRUE,analytical,TRUE
"lock, jane",judo,non-analytical: 3 whereabouts failures,2-year suspension - loss of results,2012-04-20,FALSE,FALSE,FALSE,non-analytical,FALSE
"mendes, patrick",weightlifting,human growth hormone (hgh),2-year suspension - loss of results,2012-04-16,FALSE,FALSE,FALSE,analytical,FALSE
"kochem, matt",rowing,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2012-04-13,FALSE,FALSE,FALSE,non-analytical,FALSE
"robertson, todd",cycling,erythropoietin (epo),2-year suspension with 9 month reduction - loss of results,2012-03-30,FALSE,FALSE,FALSE,analytical,FALSE
"rodgers, michael",track & field,methylhexaneamine,9-month suspension - loss of results,2012-03-01,FALSE,FALSE,FALSE,analytical,FALSE
"thompson, lenroy",boxing,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2012-02-26,FALSE,FALSE,FALSE,non-analytical,FALSE
"arias, luis",boxing,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2012-02-24,FALSE,FALSE,FALSE,non-analytical,FALSE
"brandt-sorenson, nick",cycling,efaproxiral,2-year suspension - loss of results,2012-01-13,FALSE,FALSE,FALSE,analytical,FALSE
"bates, jessie",taekwondo,methylhexaneamine,1-year suspension with 2-month reduction - loss of results,2011-12-05,FALSE,FALSE,FALSE,analytical,FALSE
"allen, damon",boxing,furosemide,6-month suspension - loss of results,2011-11-29,FALSE,FALSE,FALSE,analytical,FALSE
"spuehler, pamela",field hockey,canrenone,2-month suspension - loss of results,2011-11-23,FALSE,FALSE,FALSE,analytical,FALSE
"diamond, michael",cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,2011-11-18,FALSE,FALSE,FALSE,non-analytical,FALSE
"tadd, nathaniel",taekwondo,methylhexaneamine,2-year suspension - loss of results; sanction was tolled due to whereabouts compliance failure,2011-11-17,FALSE,FALSE,FALSE,analytical,FALSE
"kieser, frederic",track & field,methylhexaneamine,8-month suspension - loss of results,2011-10-27,FALSE,FALSE,FALSE,analytical,FALSE
"miller, michael",cycling,methylhexaneamine,8 month suspension - loss of results,2011-10-26,FALSE,FALSE,FALSE,analytical,FALSE
"duhon, byron",track & field,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,2011-10-25,FALSE,FALSE,FALSE,non-analytical,FALSE
"papp, joseph",cycling,non-analytical: distributing,lifetime suspension with reduction to 8-year suspension - loss of results; second violation,2011-10-21,FALSE,FALSE,FALSE,non-analytical,FALSE
"jager, kathleen",track & field,androgenic anabolic steroid,2-year suspension - loss of results,2011-10-18,FALSE,FALSE,FALSE,analytical,FALSE
"hunter, michael",boxing,cannabinoids,3-month suspension with 3-month deferral - loss of results,2011-10-11,FALSE,FALSE,FALSE,analytical,FALSE
"lorenz, john",wrestling,clomiphene,2-year suspension - loss of results,2011-10-10,FALSE,FALSE,FALSE,analytical,FALSE
"dibuono, matthew",track & field,androgenic anabolic steroid,4-year suspension - loss of results,2011-10-07,FALSE,FALSE,FALSE,analytical,FALSE
"hernandez, roger",cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,2011-10-06,FALSE,FALSE,FALSE,non-analytical,FALSE
"shumaker, stephen",track & field,androgenic anabolic steroid,2-year suspension - loss of results,2011-09-30,FALSE,FALSE,FALSE,analytical,FALSE
"clinger, david",cycling,clenbuterol,lifetime suspension - loss of results; second violation,2011-08-12,FALSE,FALSE,FALSE,analytical,FALSE
"dodson, amy","paralympic track & field, paralympic triathlon",oxilofrine,6-month suspension - loss of results,2011-07-22,FALSE,TRUE,TRUE,analytical,FALSE
"brown, matthew",paralympic track & field,cannabinoids,3-month suspension with 3-month deferral - loss of results,2011-07-18,FALSE,FALSE,TRUE,analytical,FALSE
"webster, joshua",cycling,methylhexaneamine & phenpromethamine,2-year suspension - loss of results,2011-07-15,FALSE,FALSE,FALSE,analytical,TRUE
"reis, fernando",weightlifting,methylhexaneamine,6-month suspension - loss of results,2011-07-14,FALSE,FALSE,FALSE,analytical,FALSE
"quintero, lisban",cycling,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,2011-07-01,FALSE,FALSE,FALSE,analytical,TRUE
"jones, harrison",diving,cannabinoids,1-year suspension - loss of results,2011-06-17,FALSE,FALSE,FALSE,analytical,FALSE
"zajicek, philip",cycling,non-analytical: purchase (epo),lifetime suspension - loss of results; second violation,2011-06-10,FALSE,FALSE,FALSE,non-analytical,FALSE
"nguyen, jonathan",taekwondo,methylhexaneamine,6-month suspension - loss of results,2011-05-27,FALSE,FALSE,FALSE,analytical,FALSE
"freeman, thomas",track & field,cannabinoids,1-year suspension - loss of results; second violation,2011-05-26,FALSE,FALSE,FALSE,analytical,FALSE
"cannell, peter",cycling,drostanolone,2-year suspension - loss of results,2011-04-08,FALSE,FALSE,FALSE,analytical,FALSE
"tilin, andrew",cycling,non-analytical: use (testosterone & dhea),2-year suspension - loss of results,2011-04-01,FALSE,FALSE,FALSE,non-analytical,TRUE
"block, mark",track & field - athlete support personnel,non-anatlyical: administration and trafficking,10 year suspension,2011-03-17,TRUE,FALSE,FALSE,analytical,TRUE
"coyle, chuck",cycling,"non-analytical: possession, use and possession (epo, igf-1)",2-year suspension - loss of results,2010-11-24,FALSE,FALSE,FALSE,non-analytical,TRUE
"schubel, neal",cycling,"non-analytical: purchase, possession and use (epo)",2-year suspension - loss of results,2010-11-24,FALSE,FALSE,FALSE,non-analytical,TRUE
"clay, ramon",track & field,non-analytical: use and possession,2-year suspension - loss of results,2010-10-22,FALSE,FALSE,FALSE,non-analytical,TRUE
